,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,1698.0,0.0,17.0,19.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,206.0,0.0,0.0,0.0,0.0
1,0.0,59.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,17.0,2.0,11252.0,387.0,1.0,0.0,0.0,0.0,102.0,412.0,5.0,58.0,22.0,342.0,1.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0
3,21.0,0.0,389.0,7769.0,46.0,0.0,3.0,0.0,7.0,46.0,0.0,145.0,0.0,16.0,0.0,2.0,0.0,93.0,13.0,0.0,0.0,0.0
4,0.0,0.0,1.0,44.0,355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,3.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,104.0,7.0,0.0,0.0,0.0,0.0,296.0,54.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,73.0,0.0,413.0,43.0,0.0,0.0,0.0,0.0,56.0,2742.0,0.0,7.0,0.0,78.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0
10,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,3.0,0.0,58.0,145.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,1329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,5.0,0.0,343.0,16.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,1.0,1269.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0
14,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0
17,206.0,0.0,125.0,93.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,4725.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
