Removed Percentage,Attack Strategy,Remaining Largest Component Percentage,Remaining Average Path Length Ratio
0.15351550506601166,Random,99.84524914887032,0.4912280701754386
0.30703101013202333,Random,99.69049829774063,0.4912280701754386
0.46054651519803497,Random,99.47384710615908,0.4912280701754386
0.6140620202640467,Random,99.31909625502941,0.4912280701754386
0.7675775253300584,Random,99.16434540389972,0.4912280701754386
0.9210930303960699,Random,98.82389353141441,0.4912280701754386
1.0746085354620816,Random,98.66914268028474,0.4912280701754386
1.2281240405280933,Random,98.51439182915506,0.4912280701754386
1.3816395455941048,Random,98.26679046734758,0.4912280701754386
1.5351550506601168,Random,98.05013927576601,0.4912280701754386
0.15351550506601166,Degree,99.31909625502941,0.4912280701754386
0.30703101013202333,Degree,98.14298978644382,0.4912280701754386
0.46054651519803497,Degree,97.02878365831012,0.4912280701754386
0.6140620202640467,Degree,96.56453110492109,0.4912280701754386
0.7675775253300584,Degree,96.0693283813061,0.4912280701754386
0.9210930303960699,Degree,95.69792633859487,0.4912280701754386
1.0746085354620816,Degree,95.0479727638502,0.4912280701754386
1.2281240405280933,Degree,94.05756731662024,0.4912280701754386
1.3816395455941048,Degree,93.12906220984215,0.4912280701754386
1.5351550506601168,Degree,92.54100897554936,0.4912280701754386
0.15351550506601166,PageRank,98.57629216960694,0.4912280701754386
0.30703101013202333,PageRank,97.7715877437326,0.4912280701754386
0.46054651519803497,PageRank,97.12163416898792,0.4912280701754386
0.6140620202640467,PageRank,96.34787991333951,0.4912280701754386
0.7675775253300584,PageRank,94.92417208294646,0.4912280701754386
0.9210930303960699,PageRank,94.08851748684619,0.4912280701754386
1.0746085354620816,PageRank,93.53141442277932,0.4912280701754386
1.2281240405280933,PageRank,92.9124110182606,0.4912280701754386
1.3816395455941048,PageRank,91.4577530176416,0.4912280701754386
1.5351550506601168,PageRank,90.65304859176726,0.4912280701754386
0.15351550506601166,Betweenness,99.28814608480346,0.4912280701754386
0.30703101013202333,Betweenness,98.70009285051069,0.4912280701754386
0.46054651519803497,Betweenness,95.35747446610957,0.4912280701754386
0.6140620202640467,Betweenness,94.67657072113896,0.4912280701754386
0.7675775253300584,Betweenness,93.40761374187558,0.4912280701754386
0.9210930303960699,Betweenness,91.8910554008047,0.4912280701754386
1.0746085354620816,Betweenness,89.41504178272982,0.4912280701754386
1.2281240405280933,Betweenness,88.91983905911482,0.4912280701754386
1.3816395455941048,Betweenness,87.09377901578459,0.4912280701754386
1.5351550506601168,Betweenness,86.28907458991024,0.4912280701754386
